date_,"0-(0, 0.25, 0, 0, 0, 0.25, 0, 0, 0.5, 0)","0-(0, 0.25, 0, 0.25, 0, 0, 0, 0.25, 0, 0.25)","0-(0, 0.5, 0, 0, 0, 0, 0, 0.25, 0.25, 0)","0-(0, 0.25, 0, 0.25, 0, 0, 0, 0.25, 0.25, 0)","0-(0, 0.25, 0, 0.25, 0, 0, 0, 0.5, 0, 0)","0-(0, 0.5, 0, 0, 0, 0, 0, 0.5, 0, 0)","0-(0, 0.25, 0, 0.25, 0, 0.25, 0, 0, 0.25, 0)","0-(0, 0.5, 0, 0, 0, 0.25, 0, 0, 0.25, 0)","0-(0, 0.25, 0, 0.25, 0, 0.25, 0.25, 0, 0, 0)","0-(0, 0.25, 0.25, 0.25, 0, 0.25, 0, 0, 0, 0)","0-(0, 0.25, 0, 0.5, 0, 0.25, 0, 0, 0, 0)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0, 0.25, 0.25)",0
2019-01-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-28,1.0673969829244074,1.0168218144942076,1.0444495307775215,1.0510739682339947,1.0379696522000246,1.02658784412276,1.0966554023094475,1.028515326396888,1.0482689046314917,1.0639119987390004,1.0543876491099595,1.0365094988428056,1.0325025678913107
2019-03-31,1.051187122044807,1.0258326176490835,1.0491231298297725,1.0493052466935169,1.040446127762496,1.0374220699279928,1.0872301239073734,1.02708193987176,1.0678992609960913,1.069354676031361,1.0617991598671923,1.003050210601487,1.0490591995701701
2019-04-30,1.0851548139650948,1.0806777667285163,1.0670713109433134,1.0830116953488966,1.089800666007452,1.071606749143998,1.1179280911408018,1.041657433125275,1.0851694325347256,1.0914773172866834,1.1146410966405627,1.0310974917373648,1.0911836134719026
2019-05-31,0.9966449957961314,0.9834352029725891,0.9585321267180298,1.0010343577129637,0.9996260920200712,0.9397021910378603,1.0085975848728679,0.96111953986997,0.9711106125758926,0.9785585083765649,0.9736809855469564,0.934355914827148,1.022424825734481
2019-06-30,1.0728759144005835,1.0529040873884032,1.036103132591933,1.089785105501246,1.0805577147872722,1.0136709327481368,1.1125993949994593,1.030876104620463,1.0859526444443472,1.057208660529374,1.0953723986727464,1.0116072648234218,1.0938617748855517
2019-07-31,1.0748449264171784,1.0651759477941452,1.0249157764471115,1.0892103719166695,1.0854145075905401,1.0386114626245102,1.1336047684286543,1.0315967613035697,1.1056149447648538,1.0749154448023033,1.0965621163870083,1.0185441907028265,1.1085256268639234
2019-08-31,1.0657205303480848,1.0233829103230252,1.0081298829881329,1.0772944820105665,1.0522768986482423,1.0475582907297385,1.1135302870074575,1.0128260476757462,1.087689464427896,1.0904320563781345,1.0745860279152732,0.9584625875376858,1.0900548981586844
2019-09-30,1.113710056133787,1.0805661934340844,1.0633404982665329,1.1212368762030156,1.1229462853209498,1.1160228328308914,1.1552162907180465,1.067768039074331,1.1266476840378432,1.1219669823153298,1.1358631498485916,1.013994319430204,1.1081619739589164
2019-10-31,1.1373153722142844,1.1266669566399594,1.0757689593695465,1.1475649338337945,1.1318099831565278,1.1342018749560323,1.216407063197056,1.1047683978563363,1.1926771119808706,1.150841101738947,1.189647762404322,1.0498550878192654,1.1319571211316308
2019-11-30,1.1749550253969168,1.169764880547132,1.1403622420719084,1.1778877818520006,1.1772170886777413,1.1826743075384274,1.2650855429515615,1.145934378966318,1.2680274626394352,1.191867272803969,1.2354564260296332,1.0959217466480866,1.1692588681856364
2019-12-31,1.2021164856368893,1.2051644858405182,1.166508024076539,1.2291239302702686,1.2134666932051739,1.1536654254410186,1.2923895255747062,1.1585401886340851,1.2953144668586005,1.2260542039075966,1.2859136097391257,1.1172986705443424,1.201828652797736
2020-01-31,1.1976114673625193,1.1771206328711363,1.1107546769566277,1.1963920108556143,1.1681221364597538,1.1146377181718725,1.2567899203501993,1.0945357209309412,1.2334309787636062,1.185483743728305,1.2367902764847127,1.0618565472001469,1.2028341930259305
2020-02-29,1.096463459030759,1.0598230056587803,0.9814291134078557,1.095071550883171,1.0810063779317123,1.0176472319498677,1.1667763739633779,0.9729493861624534,1.1765815371911879,1.1095933071597144,1.1494129500831907,0.9489388783653326,1.1043876587322956
2020-03-31,0.926395130551322,0.8945224378658494,0.8695816985616914,1.0178271542587936,0.9077306658682008,0.8225385891394367,1.0943511142053326,0.7840768288405533,1.0405631707067144,0.9906191837214334,1.0354123619239306,0.732359183018322,0.9716307794244569
2020-04-30,0.9605251741806613,1.0400463957955204,0.9965285206396333,1.0728348056014876,1.0370028536719216,0.9767125460484776,1.1779923124439664,0.92064823569281,1.2125037775541605,1.1108927359717047,1.1795265638481065,0.8439174623837173,1.094971806693168
2020-05-31,1.0014125658217816,1.0869999433846806,1.033322338652824,1.0985294867623225,1.0828321644480579,1.013333329255598,1.1599217012440164,0.9639090327559032,1.3003724503234502,1.1101787555406029,1.2546333776307228,0.8760806349177295,1.1460586373344117
2020-06-30,1.0227744208561265,1.1193523242020516,1.0447446457362841,1.1340961276647201,1.1011379602805014,1.0185749201381153,1.2156717140432365,0.9947882750102166,1.313932459856961,1.1808392069395628,1.317939878164262,0.9222361508289403,1.1692733526632058
2020-07-31,1.0169853815453616,1.1844767483190588,1.069384807433124,1.1386449802408212,1.145975756071781,1.053485398749102,1.197001073340906,1.0106118277491005,1.375837833727651,1.2327691505291762,1.3312675212294478,0.92991191465301,1.236172036014523
2020-08-31,1.069667199352398,1.2353132848842308,1.1143056796448039,1.1660205506575572,1.1991807020523937,1.0984393854567533,1.240203751179236,1.0270615778247179,1.4148380555951814,1.3012591091442052,1.3738520537133596,0.952023328135885,1.325392849658971
2020-09-30,1.055843560393984,1.2069438693305432,1.081881097079271,1.1272491238196973,1.1780803058768445,1.064849284093741,1.1957863988246211,0.9889507988616881,1.3572976012681344,1.255466556451916,1.337373511141568,0.9450876953364336,1.2744293647752107
2020-10-31,1.0370512795375633,1.1558049091601987,1.0547840273503268,1.114564383658321,1.1420176978288743,1.0178330432406675,1.1538170332599609,0.975157100528912,1.3287220129273425,1.233223094244685,1.298534708339064,0.9168846960261495,1.2404789144414983
2020-11-30,1.1429153625777615,1.3157924960389933,1.1704603800271722,1.289368327284367,1.2732990674687334,1.168938506436062,1.3269734797021384,1.1333622609571936,1.5137380281979531,1.4200681723026412,1.4757689059388723,1.0906077377711942,1.3733336902077513
2020-12-31,1.1631548310346738,1.3589914882355874,1.178079652597292,1.339516618539916,1.3118468294561545,1.1941852045117005,1.3976479903527577,1.1844898210361834,1.6106789783445898,1.4871522843008596,1.5599394020882171,1.1447936954971685,1.4248133736840636
2021-01-31,1.1589919068959105,1.3602498180883646,1.1822150693844293,1.3548143898896519,1.323707913609131,1.18966383523097,1.3993423306687867,1.1662686182205515,1.590835627772824,1.487518840341029,1.599380878041193,1.1491285692829063,1.4078476401604576
2021-02-28,1.1730084041398896,1.3620398533588083,1.2070038379319434,1.4134764874241479,1.3554234478811669,1.2420846282531506,1.4237485301669,1.2137088519550723,1.640125367537425,1.4894349499078792,1.6210057010730563,1.1693356294388524,1.44284606381306
2021-03-31,1.2590396945977205,1.4823754382754348,1.323433711001702,1.5109769135215392,1.4605498890720434,1.3753835357624598,1.5076964651475118,1.3137524624429795,1.6882428223466333,1.533746596554519,1.7085214070935166,1.2615027282843612,1.505074586783232
2021-04-30,1.3311214061073846,1.5082788202337138,1.3568758385773045,1.5239640586644554,1.48952339073584,1.4012641684429854,1.5206728009180712,1.3607253720761743,1.713149609344199,1.5543257437388387,1.7176568263854903,1.311835945189436,1.584931475900636
2021-05-31,1.3332076032611135,1.5159022951766632,1.4010194117631936,1.5458322142377123,1.5247609360395342,1.4366539562469787,1.5386036548159578,1.382914573824696,1.7301519360697384,1.58648856915205,1.743663825440763,1.3215648820142654,1.593424708700249
2021-06-30,1.3518863201496016,1.5201331019739464,1.364067113761708,1.5275433041005628,1.5461028397588457,1.4172573010549763,1.558451563487466,1.3651600285378727,1.797500652613636,1.6059656345854372,1.7905971095974382,1.3107970855884747,1.6329320347935399
2021-07-31,1.3935956791414759,1.5223615944558906,1.3660504581956243,1.521075028380383,1.5483619604704375,1.4214755601120377,1.601553754763408,1.3651450354316095,1.770119838668678,1.5459048788731615,1.828376866492313,1.336250487577766,1.6709206641175218
2021-08-31,1.415519832093213,1.5249627800752434,1.3924573968277578,1.5479750947274582,1.5429328352517724,1.422206504846677,1.653132474781439,1.3996317998449315,1.8326446200926523,1.615426155167383,1.8720445320411865,1.35602521956892,1.7209250326802625
2021-09-30,1.331117371500674,1.455562873799609,1.3320837485099457,1.4511178019274,1.4792626509474125,1.3684301152004323,1.5580262485552279,1.3174007907275647,1.7038013699439605,1.5190094157842882,1.7693236790492692,1.2826847355042552,1.6404122237767005
2021-10-31,1.4203277188422192,1.4515073532486353,1.364505244207661,1.4987213039124139,1.4970592733022028,1.3913850865695212,1.622683203211167,1.370131299009659,1.7921046960188967,1.6266944425610244,1.8324907440051457,1.36395503003595,1.7554874895896955
2021-11-30,1.4345319210325436,1.480873233339344,1.3700462279612062,1.529762339342072,1.5313708176394742,1.3718200176189963,1.687821994202911,1.3665150775703732,1.8113053510145367,1.6690684202368375,1.8928406937969098,1.3529925311713478,1.7433587248258764
2021-12-31,1.5469712084261662,1.6135590070674604,1.471599907661312,1.6460461311235204,1.6549668833405429,1.4955944180935357,1.8088142303490313,1.469652492329019,1.8703310172932224,1.7105061867409288,2.03045630568831,1.430090186247197,1.8193858523817226
2022-01-31,1.479730415956762,1.6136219710067043,1.4582180614204232,1.5727381914501575,1.6262836157708598,1.4767238318398712,1.701223965673257,1.433988228991803,1.7102847818074862,1.542780488169514,1.9759829895473082,1.4433703645296063,1.7213358972748478
2022-02-28,1.4337831381224375,1.6064967930306775,1.4410515651713267,1.5047574566291422,1.5932423336825055,1.467150913315465,1.6674225120233304,1.4369799704080182,1.680463940448241,1.5377117877844302,1.9404565978084498,1.4032510165971226,1.6653972249444216
2022-03-31,1.456892761408434,1.6096278994521847,1.4773735218968742,1.5209430342451264,1.6066846561134371,1.5056038424193245,1.712512769295615,1.4925493640795993,1.75706917066837,1.5900556835326247,1.9614835548210776,1.4564419512897797,1.7251825854722658
2022-04-30,1.4002220225317756,1.506792508351006,1.4535888712767997,1.4938356245384437,1.596501468624793,1.5140772264590219,1.60399773797975,1.4542063773587408,1.5810231999299456,1.5050190173524014,1.847853798096292,1.42467686166846,1.5718035802029342
